C0 (10266 genes)	C1 (10322 genes)
TRINITY_DN79714_c0_g1	TRINITY_DN79800_c1_g1
TRINITY_DN79732_c0_g1	TRINITY_DN79820_c0_g1
TRINITY_DN79756_c0_g1	TRINITY_DN79849_c0_g1
TRINITY_DN79772_c1_g1	TRINITY_DN79868_c0_g1
TRINITY_DN79778_c0_g1	TRINITY_DN79888_c0_g1
TRINITY_DN79805_c0_g1	TRINITY_DN79892_c0_g1
TRINITY_DN79805_c0_g2	TRINITY_DN79906_c0_g1
TRINITY_DN79808_c0_g1	TRINITY_DN79919_c0_g1
TRINITY_DN79808_c0_g2	TRINITY_DN79931_c0_g1
TRINITY_DN79815_c0_g1	TRINITY_DN79935_c0_g1
TRINITY_DN79818_c0_g1	TRINITY_DN79949_c0_g1
TRINITY_DN79828_c0_g1	TRINITY_DN79952_c0_g1
TRINITY_DN79834_c0_g1	TRINITY_DN79961_c0_g1
TRINITY_DN79846_c0_g1	TRINITY_DN79980_c0_g1
TRINITY_DN79856_c0_g1	TRINITY_DN79985_c0_g1
TRINITY_DN79862_c0_g1	TRINITY_DN79985_c1_g1
TRINITY_DN79874_c0_g1	TRINITY_DN79988_c0_g1
TRINITY_DN79900_c0_g1	TRINITY_DN79993_c0_g1
TRINITY_DN79909_c0_g1	TRINITY_DN79993_c0_g2
TRINITY_DN79969_c0_g1	TRINITY_DN80007_c0_g1
TRINITY_DN80016_c0_g1	TRINITY_DN80010_c1_g1
TRINITY_DN80053_c0_g1	TRINITY_DN80018_c0_g1
TRINITY_DN80058_c0_g1	TRINITY_DN80025_c0_g1
TRINITY_DN8012_c1_g1	TRINITY_DN80038_c0_g1
TRINITY_DN8016_c2_g1	TRINITY_DN80038_c0_g2
TRINITY_DN80233_c0_g1	TRINITY_DN80046_c0_g1
TRINITY_DN80243_c0_g1	TRINITY_DN80054_c0_g1
TRINITY_DN80249_c0_g1	TRINITY_DN80061_c0_g1
TRINITY_DN8024_c0_g2	TRINITY_DN80062_c0_g1
TRINITY_DN80256_c0_g1	TRINITY_DN80082_c0_g1
TRINITY_DN80262_c0_g1	TRINITY_DN80103_c0_g1
TRINITY_DN80280_c0_g1	TRINITY_DN80108_c0_g1
TRINITY_DN802_c0_g2	TRINITY_DN80111_c0_g1
TRINITY_DN80303_c0_g1	TRINITY_DN80131_c0_g1
TRINITY_DN80304_c0_g1	TRINITY_DN80135_c0_g1
TRINITY_DN80306_c0_g1	TRINITY_DN80172_c0_g1
TRINITY_DN80363_c0_g2	TRINITY_DN8017_c1_g1
TRINITY_DN80366_c0_g1	TRINITY_DN80183_c0_g1
TRINITY_DN80380_c0_g1	TRINITY_DN80185_c0_g1
TRINITY_DN80386_c0_g1	TRINITY_DN80199_c0_g1
TRINITY_DN80406_c1_g1	TRINITY_DN801_c0_g2
TRINITY_DN80425_c1_g1	TRINITY_DN80212_c0_g2
TRINITY_DN80430_c0_g1	TRINITY_DN80218_c0_g1
TRINITY_DN80432_c0_g1	TRINITY_DN80226_c0_g1
TRINITY_DN80439_c0_g1	TRINITY_DN80227_c0_g1
TRINITY_DN80447_c0_g2	TRINITY_DN80228_c0_g1
TRINITY_DN80471_c0_g1	TRINITY_DN80232_c0_g1
TRINITY_DN80488_c0_g1	TRINITY_DN80247_c0_g1
TRINITY_DN8050_c0_g1	TRINITY_DN80262_c1_g1
TRINITY_DN80523_c0_g1	TRINITY_DN80264_c0_g1
TRINITY_DN80560_c0_g1	TRINITY_DN80268_c0_g1
TRINITY_DN80567_c0_g1	TRINITY_DN80271_c0_g2
TRINITY_DN80578_c0_g1	TRINITY_DN80275_c0_g1
TRINITY_DN80580_c0_g1	TRINITY_DN80290_c0_g1
TRINITY_DN80601_c0_g1	TRINITY_DN80301_c0_g1
TRINITY_DN80602_c0_g1	TRINITY_DN80302_c0_g1
TRINITY_DN80614_c0_g1	TRINITY_DN80307_c0_g1
TRINITY_DN80615_c0_g1	TRINITY_DN80309_c0_g2
TRINITY_DN80633_c0_g1	TRINITY_DN80317_c0_g1
TRINITY_DN80663_c0_g1	TRINITY_DN80320_c0_g1
TRINITY_DN80672_c0_g1	TRINITY_DN80389_c0_g1
TRINITY_DN80677_c0_g1	TRINITY_DN80419_c0_g1
TRINITY_DN80692_c0_g1	TRINITY_DN80436_c0_g1
TRINITY_DN80704_c0_g1	TRINITY_DN80456_c0_g1
TRINITY_DN80717_c0_g1	TRINITY_DN80470_c0_g1
TRINITY_DN80724_c0_g1	TRINITY_DN80496_c0_g1
TRINITY_DN80725_c0_g1	TRINITY_DN80504_c0_g1
TRINITY_DN8074_c1_g1	TRINITY_DN80509_c0_g1
TRINITY_DN8074_c1_g2	TRINITY_DN80537_c0_g1
TRINITY_DN80766_c0_g1	TRINITY_DN80543_c0_g1
TRINITY_DN80782_c0_g1	TRINITY_DN80553_c0_g1
TRINITY_DN80787_c0_g1	TRINITY_DN80569_c0_g2
TRINITY_DN80808_c0_g1	TRINITY_DN80569_c0_g3
TRINITY_DN80852_c0_g1	TRINITY_DN80594_c0_g1
TRINITY_DN80856_c0_g1	TRINITY_DN80600_c0_g1
TRINITY_DN80867_c0_g1	TRINITY_DN80626_c0_g1
TRINITY_DN80880_c0_g1	TRINITY_DN80635_c0_g1
TRINITY_DN80886_c0_g1	TRINITY_DN80671_c0_g1
TRINITY_DN80887_c0_g1	TRINITY_DN80699_c0_g2
TRINITY_DN80907_c0_g1	TRINITY_DN80712_c0_g1
TRINITY_DN80913_c0_g1	TRINITY_DN80731_c0_g1
TRINITY_DN80914_c0_g1	TRINITY_DN80757_c0_g1
TRINITY_DN80938_c0_g1	TRINITY_DN80759_c0_g1
TRINITY_DN80943_c0_g1	TRINITY_DN80799_c0_g1
TRINITY_DN8094_c0_g3	TRINITY_DN80802_c0_g1
TRINITY_DN80950_c0_g1	TRINITY_DN80806_c0_g1
TRINITY_DN80974_c0_g1	TRINITY_DN80809_c0_g1
TRINITY_DN80978_c0_g1	TRINITY_DN80838_c0_g1
TRINITY_DN80979_c0_g2	TRINITY_DN80839_c0_g1
TRINITY_DN80990_c0_g4	TRINITY_DN80840_c0_g1
TRINITY_DN80995_c0_g2	TRINITY_DN80845_c0_g1
TRINITY_DN81004_c0_g1	TRINITY_DN8085_c0_g1
TRINITY_DN81022_c0_g1	TRINITY_DN80891_c0_g1
TRINITY_DN81075_c0_g1	TRINITY_DN80939_c0_g1
TRINITY_DN81097_c0_g1	TRINITY_DN80940_c0_g1
TRINITY_DN8110_c0_g3	TRINITY_DN80944_c0_g1
TRINITY_DN8111_c0_g2	TRINITY_DN80948_c0_g1
TRINITY_DN81139_c0_g1	TRINITY_DN80951_c0_g2
TRINITY_DN81152_c0_g1	TRINITY_DN80957_c0_g1
TRINITY_DN81160_c0_g1	TRINITY_DN80961_c0_g1
TRINITY_DN81186_c0_g1	TRINITY_DN80968_c0_g1
TRINITY_DN81225_c0_g1	TRINITY_DN8096_c0_g3
TRINITY_DN81233_c0_g1	TRINITY_DN80981_c0_g1
TRINITY_DN81262_c1_g1	TRINITY_DN80995_c0_g1
TRINITY_DN81294_c0_g1	TRINITY_DN81002_c0_g1
TRINITY_DN81300_c0_g1	TRINITY_DN81007_c0_g1
TRINITY_DN81311_c0_g1	TRINITY_DN81011_c0_g1
TRINITY_DN81319_c0_g1	TRINITY_DN81030_c0_g1
TRINITY_DN81333_c0_g1	TRINITY_DN81052_c0_g1
TRINITY_DN81385_c0_g1	TRINITY_DN81056_c0_g1
TRINITY_DN81386_c0_g4	TRINITY_DN81066_c0_g1
TRINITY_DN81386_c2_g1	TRINITY_DN81144_c0_g1
TRINITY_DN81408_c0_g1	TRINITY_DN81148_c0_g1
TRINITY_DN81420_c0_g1	TRINITY_DN81151_c0_g1
TRINITY_DN81423_c0_g1	TRINITY_DN81155_c0_g1
TRINITY_DN81445_c0_g2	TRINITY_DN81191_c0_g1
TRINITY_DN81449_c0_g1	TRINITY_DN81198_c0_g1
TRINITY_DN81455_c0_g2	TRINITY_DN81199_c0_g1
TRINITY_DN81510_c0_g1	TRINITY_DN81228_c0_g1
TRINITY_DN81513_c0_g1	TRINITY_DN81259_c0_g1
TRINITY_DN81537_c1_g1	TRINITY_DN81284_c0_g1
TRINITY_DN81571_c0_g1	TRINITY_DN81308_c0_g2
TRINITY_DN81580_c0_g1	TRINITY_DN81334_c2_g1
TRINITY_DN81592_c0_g1	TRINITY_DN81350_c0_g1
TRINITY_DN81607_c0_g1	TRINITY_DN81386_c0_g3
TRINITY_DN81609_c0_g1	TRINITY_DN8138_c1_g3
TRINITY_DN81610_c0_g1	TRINITY_DN81442_c0_g1
TRINITY_DN81624_c0_g1	TRINITY_DN81454_c0_g1
TRINITY_DN81639_c0_g1	TRINITY_DN81463_c0_g1
TRINITY_DN81641_c0_g2	TRINITY_DN81472_c0_g1
TRINITY_DN81663_c0_g1	TRINITY_DN81527_c0_g1
TRINITY_DN81693_c0_g1	TRINITY_DN81539_c0_g1
TRINITY_DN81704_c0_g1	TRINITY_DN81544_c0_g2
TRINITY_DN81711_c0_g1	TRINITY_DN8154_c1_g1
TRINITY_DN81727_c0_g2	TRINITY_DN81616_c0_g1
TRINITY_DN81730_c0_g1	TRINITY_DN8161_c0_g1
TRINITY_DN81733_c0_g1	TRINITY_DN81623_c0_g1
TRINITY_DN81753_c0_g1	TRINITY_DN81638_c0_g1
TRINITY_DN81759_c0_g1	TRINITY_DN81640_c0_g1
TRINITY_DN81764_c0_g1	TRINITY_DN81672_c1_g1
TRINITY_DN81775_c0_g1	TRINITY_DN81700_c0_g1
TRINITY_DN81781_c0_g3	TRINITY_DN81721_c0_g1
TRINITY_DN81784_c0_g1	TRINITY_DN81736_c0_g1
TRINITY_DN81785_c0_g1	TRINITY_DN81745_c0_g1
TRINITY_DN81790_c0_g1	TRINITY_DN81754_c0_g1
TRINITY_DN81791_c0_g3	TRINITY_DN81757_c0_g1
TRINITY_DN81800_c0_g1	TRINITY_DN81762_c0_g1
TRINITY_DN81801_c0_g1	TRINITY_DN81767_c0_g1
TRINITY_DN81816_c0_g1	TRINITY_DN81772_c0_g1
TRINITY_DN81838_c0_g1	TRINITY_DN81791_c0_g2
TRINITY_DN81865_c0_g2	TRINITY_DN81799_c0_g1
TRINITY_DN81869_c0_g1	TRINITY_DN81811_c0_g1
TRINITY_DN81881_c0_g1	TRINITY_DN81812_c0_g1
TRINITY_DN81898_c0_g1	TRINITY_DN81817_c0_g1
TRINITY_DN81905_c0_g1	TRINITY_DN81835_c0_g2
TRINITY_DN81912_c0_g1	TRINITY_DN81842_c0_g2
TRINITY_DN81927_c0_g1	TRINITY_DN81843_c0_g1
TRINITY_DN81943_c0_g1	TRINITY_DN81857_c0_g1
TRINITY_DN81945_c0_g1	TRINITY_DN81858_c0_g1
TRINITY_DN81952_c0_g1	TRINITY_DN81890_c0_g1
TRINITY_DN81955_c0_g1	TRINITY_DN81919_c0_g1
TRINITY_DN81962_c0_g1	TRINITY_DN81947_c0_g1
TRINITY_DN81981_c0_g1	TRINITY_DN81957_c0_g1
TRINITY_DN81982_c1_g1	TRINITY_DN81974_c0_g1
TRINITY_DN82017_c0_g1	TRINITY_DN81990_c0_g1
TRINITY_DN82017_c0_g2	TRINITY_DN82033_c0_g1
TRINITY_DN82018_c1_g1	TRINITY_DN82038_c0_g1
TRINITY_DN82027_c0_g1	TRINITY_DN82060_c0_g1
TRINITY_DN82079_c0_g1	TRINITY_DN82063_c0_g1
TRINITY_DN82095_c0_g1	TRINITY_DN82070_c0_g1
TRINITY_DN82105_c0_g1	TRINITY_DN82071_c0_g1
TRINITY_DN82143_c0_g1	TRINITY_DN82072_c0_g1
TRINITY_DN82207_c0_g1	TRINITY_DN82092_c0_g1
TRINITY_DN82209_c0_g1	TRINITY_DN8209_c1_g1
TRINITY_DN82211_c0_g1	TRINITY_DN82103_c0_g1
TRINITY_DN82230_c0_g1	TRINITY_DN82111_c0_g1
TRINITY_DN82255_c0_g1	TRINITY_DN82111_c0_g3
TRINITY_DN82269_c0_g1	TRINITY_DN82111_c1_g1
TRINITY_DN82274_c0_g1	TRINITY_DN82133_c0_g1
TRINITY_DN82280_c0_g1	TRINITY_DN82136_c0_g1
TRINITY_DN82291_c0_g1	TRINITY_DN8215_c0_g2
TRINITY_DN82298_c0_g1	TRINITY_DN82167_c0_g1
TRINITY_DN8229_c1_g1	TRINITY_DN82168_c0_g1
TRINITY_DN82300_c0_g1	TRINITY_DN82177_c0_g1
TRINITY_DN82302_c0_g1	TRINITY_DN82189_c0_g1
TRINITY_DN82309_c0_g1	TRINITY_DN82203_c0_g1
TRINITY_DN82327_c0_g1	TRINITY_DN82222_c0_g1
TRINITY_DN82366_c0_g1	TRINITY_DN82235_c0_g1
TRINITY_DN82370_c0_g1	TRINITY_DN82244_c0_g1
TRINITY_DN82382_c0_g1	TRINITY_DN82254_c0_g1
TRINITY_DN82396_c0_g1	TRINITY_DN82261_c0_g1
TRINITY_DN82405_c0_g1	TRINITY_DN82266_c0_g1
TRINITY_DN82406_c0_g1	TRINITY_DN82267_c0_g1
TRINITY_DN82415_c0_g1	TRINITY_DN82270_c0_g2
TRINITY_DN82419_c0_g1	TRINITY_DN82271_c0_g1
TRINITY_DN82423_c0_g1	TRINITY_DN82272_c0_g1
TRINITY_DN82426_c0_g1	TRINITY_DN82278_c0_g1
TRINITY_DN82497_c0_g1	TRINITY_DN82281_c0_g1
TRINITY_DN82501_c0_g1	TRINITY_DN82283_c0_g1
TRINITY_DN82528_c0_g1	TRINITY_DN82296_c0_g1
TRINITY_DN82534_c0_g1	TRINITY_DN82331_c0_g1
TRINITY_DN82545_c0_g1	TRINITY_DN82338_c0_g1
TRINITY_DN82554_c0_g1	TRINITY_DN82373_c0_g1
TRINITY_DN82557_c0_g1	TRINITY_DN82399_c0_g1
TRINITY_DN82567_c0_g1	TRINITY_DN82421_c0_g1
TRINITY_DN82568_c0_g1	TRINITY_DN82428_c0_g1
TRINITY_DN82585_c0_g2	TRINITY_DN82434_c0_g1
TRINITY_DN82589_c0_g1	TRINITY_DN82437_c0_g1
TRINITY_DN82594_c0_g1	TRINITY_DN82443_c0_g1
TRINITY_DN82595_c0_g1	TRINITY_DN82467_c0_g1
TRINITY_DN82602_c0_g1	TRINITY_DN82478_c0_g2
TRINITY_DN82608_c0_g1	TRINITY_DN82481_c0_g1
TRINITY_DN8261_c1_g1	TRINITY_DN82500_c0_g1
TRINITY_DN82620_c0_g1	TRINITY_DN82504_c0_g1
TRINITY_DN82623_c0_g1	TRINITY_DN82518_c0_g1
TRINITY_DN82643_c0_g1	TRINITY_DN82543_c0_g1
TRINITY_DN82659_c0_g1	TRINITY_DN82563_c0_g1
TRINITY_DN82676_c0_g1	TRINITY_DN82587_c0_g1
TRINITY_DN82677_c0_g1	TRINITY_DN82599_c0_g1
TRINITY_DN82739_c0_g1	TRINITY_DN82609_c0_g1
TRINITY_DN82748_c0_g1	TRINITY_DN82615_c0_g1
TRINITY_DN82751_c0_g1	TRINITY_DN82619_c0_g1
TRINITY_DN82790_c0_g1	TRINITY_DN82621_c0_g1
TRINITY_DN82793_c0_g1	TRINITY_DN82624_c0_g1
TRINITY_DN82815_c0_g2	TRINITY_DN82640_c0_g1
TRINITY_DN82818_c0_g1	TRINITY_DN82646_c0_g1
TRINITY_DN82830_c0_g1	TRINITY_DN82648_c0_g1
TRINITY_DN82975_c0_g1	TRINITY_DN8264_c0_g1
TRINITY_DN82999_c0_g1	TRINITY_DN82672_c0_g1
TRINITY_DN83036_c0_g1	TRINITY_DN82701_c0_g1
TRINITY_DN83047_c0_g1	TRINITY_DN82713_c0_g1
TRINITY_DN83051_c0_g1	TRINITY_DN82718_c0_g1
TRINITY_DN83310_c0_g1	TRINITY_DN82733_c0_g1
TRINITY_DN83370_c0_g2	TRINITY_DN82746_c0_g1
TRINITY_DN83375_c0_g1	TRINITY_DN82749_c0_g1
TRINITY_DN83381_c0_g1	TRINITY_DN82770_c0_g1
TRINITY_DN83467_c0_g1	TRINITY_DN82774_c0_g1
TRINITY_DN83518_c0_g1	TRINITY_DN82776_c0_g1
TRINITY_DN83523_c0_g1	TRINITY_DN82798_c0_g1
TRINITY_DN83591_c0_g1	TRINITY_DN82809_c0_g1
TRINITY_DN83613_c0_g1	TRINITY_DN82835_c0_g1
TRINITY_DN83618_c0_g1	TRINITY_DN82892_c0_g1
TRINITY_DN83654_c0_g1	TRINITY_DN82939_c0_g1
TRINITY_DN83706_c0_g1	TRINITY_DN82960_c0_g1
TRINITY_DN83795_c0_g1	TRINITY_DN83007_c0_g1
TRINITY_DN83875_c0_g1	TRINITY_DN83023_c0_g1
TRINITY_DN83884_c0_g1	TRINITY_DN8302_c0_g1
TRINITY_DN83893_c0_g1	TRINITY_DN83258_c0_g1
TRINITY_DN83896_c0_g1	TRINITY_DN83259_c0_g1
TRINITY_DN83981_c0_g1	TRINITY_DN83280_c0_g1
TRINITY_DN8401_c1_g1	TRINITY_DN83317_c1_g1
TRINITY_DN84068_c0_g1	TRINITY_DN83319_c0_g1
TRINITY_DN84096_c0_g1	TRINITY_DN83327_c0_g1
TRINITY_DN84111_c0_g1	TRINITY_DN83340_c0_g1
TRINITY_DN84129_c0_g1	TRINITY_DN83340_c0_g2
TRINITY_DN84158_c0_g1	TRINITY_DN83351_c0_g1
TRINITY_DN84238_c1_g1	TRINITY_DN83366_c0_g1
TRINITY_DN84240_c0_g1	TRINITY_DN83370_c0_g1
TRINITY_DN84338_c0_g1	TRINITY_DN83377_c0_g1
TRINITY_DN84347_c0_g1	TRINITY_DN83430_c0_g1
TRINITY_DN84396_c0_g1	TRINITY_DN83452_c0_g1
TRINITY_DN84423_c0_g1	TRINITY_DN83457_c0_g4
TRINITY_DN84432_c0_g1	TRINITY_DN83487_c0_g1
TRINITY_DN84482_c0_g1	TRINITY_DN83493_c0_g1
TRINITY_DN84482_c0_g2	TRINITY_DN83513_c0_g1
TRINITY_DN84619_c0_g1	TRINITY_DN83516_c0_g1
TRINITY_DN84632_c0_g1	TRINITY_DN83569_c0_g1
TRINITY_DN84795_c0_g1	TRINITY_DN83573_c0_g1
TRINITY_DN84830_c1_g1	TRINITY_DN83583_c0_g2
TRINITY_DN8485_c2_g1	TRINITY_DN83586_c0_g2
TRINITY_DN84869_c0_g1	TRINITY_DN83590_c0_g1
TRINITY_DN84878_c0_g1	TRINITY_DN83606_c0_g3
TRINITY_DN84883_c0_g1	TRINITY_DN83625_c0_g1
TRINITY_DN84910_c0_g1	TRINITY_DN83637_c0_g2
TRINITY_DN84949_c0_g1	TRINITY_DN83658_c0_g1
TRINITY_DN84957_c0_g1	TRINITY_DN83670_c0_g1
TRINITY_DN84_c2_g1	TRINITY_DN83677_c0_g1
TRINITY_DN85078_c0_g1	TRINITY_DN83750_c0_g1
TRINITY_DN85089_c0_g1	TRINITY_DN83754_c0_g1
TRINITY_DN85090_c0_g1	TRINITY_DN83834_c0_g1
TRINITY_DN85131_c0_g1	TRINITY_DN83863_c0_g1
TRINITY_DN85170_c0_g1	TRINITY_DN83881_c0_g2
TRINITY_DN85285_c1_g1	TRINITY_DN83953_c0_g1
TRINITY_DN85288_c0_g1	TRINITY_DN8395_c0_g2
TRINITY_DN85294_c0_g1	TRINITY_DN83964_c0_g1
TRINITY_DN85505_c0_g1	TRINITY_DN83974_c0_g1
TRINITY_DN85535_c0_g1	TRINITY_DN83987_c0_g1
TRINITY_DN85605_c0_g1	TRINITY_DN83996_c0_g1
TRINITY_DN85614_c0_g1	TRINITY_DN84081_c0_g1
TRINITY_DN85693_c0_g1	TRINITY_DN84087_c0_g1
TRINITY_DN85708_c0_g1	TRINITY_DN84090_c0_g1
TRINITY_DN85745_c0_g1	TRINITY_DN84139_c0_g1
TRINITY_DN85751_c0_g1	TRINITY_DN84170_c0_g1
TRINITY_DN8577_c2_g1	TRINITY_DN84190_c0_g1
TRINITY_DN85880_c0_g1	TRINITY_DN84213_c0_g1
TRINITY_DN85892_c0_g1	TRINITY_DN84237_c0_g1
TRINITY_DN858_c0_g2	TRINITY_DN84392_c0_g1
TRINITY_DN85920_c0_g1	TRINITY_DN8440_c0_g2
TRINITY_DN85926_c0_g1	TRINITY_DN84653_c0_g1
TRINITY_DN85929_c0_g1	TRINITY_DN84692_c0_g1
TRINITY_DN85993_c0_g1	TRINITY_DN84704_c0_g1
TRINITY_DN85996_c0_g1	TRINITY_DN84711_c0_g2
TRINITY_DN86135_c0_g1	TRINITY_DN84756_c0_g2
TRINITY_DN86136_c0_g1	TRINITY_DN84942_c0_g1
TRINITY_DN86220_c0_g1	TRINITY_DN84959_c0_g1
TRINITY_DN86261_c0_g1	TRINITY_DN84969_c0_g1
TRINITY_DN86278_c0_g1	TRINITY_DN85014_c0_g1
TRINITY_DN86285_c0_g1	TRINITY_DN85095_c0_g1
TRINITY_DN86298_c0_g1	TRINITY_DN85109_c0_g1
TRINITY_DN86300_c0_g1	TRINITY_DN85124_c0_g1
TRINITY_DN86307_c0_g1	TRINITY_DN85125_c0_g1
TRINITY_DN86312_c0_g1	TRINITY_DN85152_c0_g2
TRINITY_DN86316_c0_g2	TRINITY_DN85155_c0_g1
TRINITY_DN86318_c1_g1	TRINITY_DN85165_c0_g1
TRINITY_DN86331_c0_g1	TRINITY_DN85168_c1_g1
TRINITY_DN86351_c0_g1	TRINITY_DN85201_c0_g1
TRINITY_DN86365_c0_g1	TRINITY_DN85205_c0_g1
TRINITY_DN86374_c0_g1	TRINITY_DN85295_c0_g1
TRINITY_DN86384_c0_g1	TRINITY_DN85357_c0_g1
TRINITY_DN86390_c0_g1	TRINITY_DN85368_c0_g2
TRINITY_DN86398_c0_g1	TRINITY_DN85395_c1_g1
TRINITY_DN86403_c0_g1	TRINITY_DN85406_c0_g1
TRINITY_DN86422_c0_g1	TRINITY_DN85438_c0_g1
TRINITY_DN86428_c0_g1	TRINITY_DN85459_c0_g1
TRINITY_DN86433_c0_g1	TRINITY_DN85480_c0_g2
TRINITY_DN86450_c0_g1	TRINITY_DN85525_c0_g1
TRINITY_DN86450_c0_g2	TRINITY_DN85526_c0_g1
TRINITY_DN8648_c2_g1	TRINITY_DN85529_c0_g2
TRINITY_DN86495_c0_g1	TRINITY_DN85553_c0_g1
TRINITY_DN86564_c0_g1	TRINITY_DN85555_c0_g1
TRINITY_DN86573_c0_g1	TRINITY_DN85556_c0_g1
TRINITY_DN86588_c0_g1	TRINITY_DN8575_c0_g4
TRINITY_DN86589_c0_g1	TRINITY_DN85787_c0_g1
TRINITY_DN8658_c3_g1	TRINITY_DN85817_c0_g1
TRINITY_DN86609_c0_g1	TRINITY_DN85820_c0_g1
TRINITY_DN86639_c0_g1	TRINITY_DN85824_c0_g2
TRINITY_DN86646_c0_g2	TRINITY_DN85825_c0_g1
TRINITY_DN86683_c0_g1	TRINITY_DN85834_c0_g1
TRINITY_DN86686_c0_g1	TRINITY_DN85855_c0_g1
TRINITY_DN86689_c0_g1	TRINITY_DN85981_c0_g1
TRINITY_DN86701_c0_g1	TRINITY_DN86115_c0_g1
TRINITY_DN86710_c0_g1	TRINITY_DN86124_c0_g2
TRINITY_DN86871_c0_g1	TRINITY_DN86153_c0_g2
TRINITY_DN86891_c0_g1	TRINITY_DN86163_c0_g1
TRINITY_DN86919_c0_g1	TRINITY_DN86171_c0_g1
TRINITY_DN86929_c0_g1	TRINITY_DN862_c1_g4
TRINITY_DN87035_c0_g1	TRINITY_DN86321_c0_g1
TRINITY_DN87053_c0_g1	TRINITY_DN86338_c0_g1
TRINITY_DN87076_c0_g1	TRINITY_DN86368_c0_g1
TRINITY_DN87121_c0_g1	TRINITY_DN86392_c0_g1
TRINITY_DN87124_c0_g1	TRINITY_DN86414_c0_g1
TRINITY_DN87183_c0_g1	TRINITY_DN86463_c0_g1
TRINITY_DN87195_c0_g1	TRINITY_DN86483_c0_g1
TRINITY_DN87205_c0_g1	TRINITY_DN86498_c0_g1
TRINITY_DN87212_c1_g1	TRINITY_DN86505_c0_g1
TRINITY_DN8721_c0_g2	TRINITY_DN86517_c0_g1
TRINITY_DN87275_c0_g1	TRINITY_DN86542_c0_g1
TRINITY_DN87294_c0_g1	TRINITY_DN86548_c0_g1
TRINITY_DN87310_c0_g1	TRINITY_DN8654_c0_g2
TRINITY_DN87313_c0_g1	TRINITY_DN86560_c0_g1
TRINITY_DN87357_c0_g1	TRINITY_DN86566_c0_g1
TRINITY_DN87402_c0_g1	TRINITY_DN86584_c0_g1
TRINITY_DN87412_c0_g1	TRINITY_DN8659_c1_g1
TRINITY_DN87433_c0_g1	TRINITY_DN86606_c0_g1
TRINITY_DN87479_c0_g1	TRINITY_DN86627_c0_g1
TRINITY_DN87491_c0_g1	TRINITY_DN86629_c0_g1
TRINITY_DN87565_c0_g1	TRINITY_DN86638_c0_g1
TRINITY_DN87700_c0_g1	TRINITY_DN8668_c0_g2
TRINITY_DN87717_c0_g1	TRINITY_DN86690_c0_g1
TRINITY_DN87729_c0_g1	TRINITY_DN86714_c0_g1
TRINITY_DN87731_c0_g1	TRINITY_DN86723_c0_g1
TRINITY_DN87756_c2_g1	TRINITY_DN86732_c0_g1
TRINITY_DN87758_c0_g1	TRINITY_DN86740_c0_g1
TRINITY_DN87785_c0_g1	TRINITY_DN86753_c0_g3
TRINITY_DN87904_c0_g1	TRINITY_DN86762_c0_g1
TRINITY_DN87969_c0_g1	TRINITY_DN86768_c0_g1
TRINITY_DN88010_c0_g1	TRINITY_DN86771_c0_g1
TRINITY_DN88028_c0_g1	TRINITY_DN86788_c0_g1
TRINITY_DN88033_c0_g1	TRINITY_DN86791_c0_g1
TRINITY_DN88034_c0_g1	TRINITY_DN867_c0_g2
TRINITY_DN88035_c0_g1	TRINITY_DN86819_c0_g1
TRINITY_DN88040_c0_g1	TRINITY_DN86828_c0_g1
TRINITY_DN88060_c0_g2	TRINITY_DN86830_c0_g1
TRINITY_DN88083_c0_g1	TRINITY_DN86831_c0_g1
TRINITY_DN88093_c0_g2	TRINITY_DN86844_c0_g1
TRINITY_DN8810_c2_g1	TRINITY_DN86852_c0_g1
TRINITY_DN88111_c0_g1	TRINITY_DN8686_c1_g1
TRINITY_DN88119_c0_g1	TRINITY_DN86884_c0_g1
TRINITY_DN88121_c1_g1	TRINITY_DN8689_c1_g1
TRINITY_DN88178_c0_g2	TRINITY_DN868_c2_g1
TRINITY_DN88198_c0_g1	TRINITY_DN8692_c1_g1
TRINITY_DN8819_c0_g2	TRINITY_DN86936_c0_g1
TRINITY_DN88212_c0_g1	TRINITY_DN86940_c0_g1
TRINITY_DN88216_c0_g1	TRINITY_DN86941_c0_g1
TRINITY_DN88305_c0_g1	TRINITY_DN86941_c0_g2
TRINITY_DN88319_c1_g1	TRINITY_DN86953_c0_g1
TRINITY_DN88350_c0_g1	TRINITY_DN86956_c0_g1
TRINITY_DN88369_c0_g1	TRINITY_DN86966_c0_g1
TRINITY_DN88511_c0_g2	TRINITY_DN86994_c0_g1
TRINITY_DN88513_c0_g1	TRINITY_DN87032_c0_g2
TRINITY_DN88612_c0_g1	TRINITY_DN87096_c0_g1
TRINITY_DN88633_c0_g1	TRINITY_DN87107_c0_g1
TRINITY_DN88658_c0_g1	TRINITY_DN87176_c0_g1
TRINITY_DN88678_c0_g1	TRINITY_DN87209_c0_g1
TRINITY_DN88711_c0_g1	TRINITY_DN87293_c0_g1
TRINITY_DN88760_c0_g1	TRINITY_DN87332_c0_g2
TRINITY_DN88794_c0_g1	TRINITY_DN87372_c0_g1
TRINITY_DN88863_c0_g1	TRINITY_DN87382_c0_g1
TRINITY_DN88878_c0_g1	TRINITY_DN8744_c1_g1
TRINITY_DN88881_c0_g1	TRINITY_DN88507_c0_g1
TRINITY_DN88897_c0_g1	TRINITY_DN88518_c0_g1
