C0 (10266 genes)	C1 (10322 genes)
TRINITY_DN105275_c0_g1	TRINITY_DN106999_c0_g1
TRINITY_DN105279_c0_g1	TRINITY_DN107011_c0_g1
TRINITY_DN105283_c0_g1	TRINITY_DN107039_c0_g1
TRINITY_DN105291_c0_g1	TRINITY_DN107047_c0_g1
TRINITY_DN105315_c0_g1	TRINITY_DN107053_c0_g1
TRINITY_DN105328_c0_g1	TRINITY_DN107155_c0_g1
TRINITY_DN105347_c0_g1	TRINITY_DN107172_c0_g1
TRINITY_DN105349_c0_g1	TRINITY_DN107201_c0_g1
TRINITY_DN105359_c0_g1	TRINITY_DN107234_c0_g1
TRINITY_DN105386_c0_g1	TRINITY_DN107245_c0_g1
TRINITY_DN105425_c0_g1	TRINITY_DN107253_c0_g1
TRINITY_DN105440_c0_g1	TRINITY_DN107307_c0_g1
TRINITY_DN105442_c0_g1	TRINITY_DN107342_c0_g1
TRINITY_DN105449_c0_g1	TRINITY_DN107344_c0_g1
TRINITY_DN105454_c0_g1	TRINITY_DN107345_c0_g1
TRINITY_DN105462_c0_g1	TRINITY_DN107392_c0_g1
TRINITY_DN10546_c0_g1	TRINITY_DN107416_c0_g1
TRINITY_DN105484_c0_g1	TRINITY_DN107498_c0_g1
TRINITY_DN105489_c0_g1	TRINITY_DN107503_c0_g1
TRINITY_DN105499_c0_g1	TRINITY_DN107520_c0_g1
TRINITY_DN10549_c1_g2	TRINITY_DN107571_c0_g1
TRINITY_DN105522_c0_g1	TRINITY_DN107572_c0_g1
TRINITY_DN105524_c0_g1	TRINITY_DN107589_c0_g1
TRINITY_DN105525_c0_g1	TRINITY_DN107594_c0_g1
TRINITY_DN105546_c0_g1	TRINITY_DN107667_c0_g1
TRINITY_DN105550_c0_g1	TRINITY_DN107698_c1_g1
TRINITY_DN105554_c0_g1	TRINITY_DN107702_c0_g1
TRINITY_DN105574_c0_g1	TRINITY_DN107704_c0_g1
TRINITY_DN105600_c0_g1	TRINITY_DN107727_c0_g1
TRINITY_DN105625_c1_g1	TRINITY_DN107729_c0_g1
TRINITY_DN105632_c0_g1	TRINITY_DN107745_c0_g1
TRINITY_DN105644_c0_g1	TRINITY_DN107755_c0_g1
TRINITY_DN105646_c0_g1	TRINITY_DN107800_c0_g1
TRINITY_DN105668_c0_g1	TRINITY_DN10786_c2_g1
TRINITY_DN105684_c0_g1	TRINITY_DN107881_c0_g1
TRINITY_DN105685_c0_g1	TRINITY_DN107891_c0_g1
TRINITY_DN105731_c0_g1	TRINITY_DN107909_c0_g1
TRINITY_DN105732_c0_g1	TRINITY_DN107942_c0_g1
TRINITY_DN105736_c0_g1	TRINITY_DN107943_c0_g1
