Unnamed: 0,CEL_W,FUK_P,FUK_W,KAT_P,KAT_W,KUR_P,NIS_W,ONO_P,logFC,logCPM,PValue,FDR,BLASTX_short,BLASTX_full
TRINITY_DN100109_c0_g1,0.0,3.915,0.0,0.0,0.0,0.0,1.5190000000000001,0.0,-1.37095152080979,-0.278229152601953,0.733784444895442,1.0,,
TRINITY_DN10010_c0_g1,2.174,1.46,2.116,2.099,1.46,0.98,2.031,0.47100000000000003,0.635227366945235,0.8200685316019541,0.3918960809443939,1.0,,
TRINITY_DN10010_c0_g2,1.0070000000000001,2.0540000000000003,1.807,3.321,0.5539999999999999,0.7140000000000001,1.713,0.293,-0.29425579631300103,0.651456198641959,0.754250665361163,1.0,,
TRINITY_DN10010_c0_g3,97.73,93.219,117.37700000000001,108.411,113.495,103.17200000000001,92.65899999999999,95.13600000000001,0.0634866953962424,6.730451001994599,0.7749068209565279,1.0,,
TRINITY_DN10011_c0_g1,0.45899999999999996,1.105,0.76,1.73,1.768,0.47,1.008,1.256,-0.213442316239066,0.269130819706401,0.828407464139639,1.0,,
TRINITY_DN10011_c0_g2,5.069,1.517,4.823,2.099,3.148,0.6809999999999999,2.907,0.662,1.67324988684747,1.48829919653888,0.0111989839519705,0.520612996145444,,
TRINITY_DN100123_c0_g1,0.469,7.724,0.32799999999999996,6.365,0.0,9.861,4.5569999999999995,16.115,-2.89728968083932,2.59044583428996,0.0154520775466434,0.612490158539457,,
TRINITY_DN10012_c0_g1,1.072,4.712,5.434,0.6509999999999999,0.528,2.134,3.264,0.767,0.307351566565829,1.33802522203089,0.74762732308474,1.0,,
TRINITY_DN100133_c0_g1,0.0,0.0,0.0,1.4869999999999999,1.5419999999999998,0.0,0.6890000000000001,0.0,0.6552711581964821,-0.8058048568310892,0.886404676662758,1.0,,
TRINITY_DN10013_c0_g1,45.481,64.23899999999999,33.77,69.645,81.29,87.58200000000001,74.976,91.19,-0.42333445993217295,6.149284234192032,0.206776412300882,1.0,,
TRINITY_DN100143_c0_g1,0.0,0.0,0.0,0.971,2.787,0.0,0.41100000000000003,0.0,1.72409436661199,-0.672962204214621,0.6809931299783639,1.0,,
TRINITY_DN10014_c0_g1,28.034000000000002,25.496,24.854,26.894000000000002,19.357,31.046999999999997,18.387999999999998,26.051,-0.284999369127088,4.69859554122596,0.26274140039878,1.0,,
TRINITY_DN10014_c0_g2,2.612,2.224,1.183,2.5269999999999997,2.073,3.825,2.022,3.3360000000000003,-0.622660284102048,1.41303584556423,0.27846915348357104,1.0,,
TRINITY_DN10014_c1_g1,0.494,0.39399999999999996,0.7190000000000001,2.227,1.18,0.97,0.348,4.376,-1.55341861918439,0.5812348826079761,0.11659061828751,1.0,,
TRINITY_DN10015_c0_g1,4.737,3.822,3.3739999999999997,5.145,3.3280000000000003,2.233,8.33,0.932,0.706263548946797,2.0804285518926697,0.282663964354507,1.0,,
TRINITY_DN10015_c0_g2,0.6609999999999999,3.722,1.127,0.209,0.0,1.079,0.493,0.147,-1.15979457905798,0.103371735164529,0.43596950882939,1.0,,
TRINITY_DN10016_c0_g1,37.936,64.741,54.773999999999994,3.4219999999999997,8.176,45.342,77.655,0.152,0.645741305573814,5.244724021215389,0.5939012076604909,1.0,,
TRINITY_DN10017_c0_g1,5.231,3.197,2.7769999999999997,2.0869999999999997,2.2640000000000002,5.485,4.6930000000000005,4.047,-0.0037090909298293897,1.98129146831347,1.0,1.0,,
TRINITY_DN100183_c0_g1,0.0,0.0,0.0,2.5069999999999997,2.5180000000000002,0.0,0.0,0.0,-0.00187421338432605,-0.45402693806032,1.0,1.0,,
TRINITY_DN10018_c0_g1,1.454,2.05,1.131,0.295,0.61,1.208,3.5810000000000004,0.37,0.7787669386338721,0.5838364719952629,0.429774362880599,1.0,,
TRINITY_DN100197_c0_g1,0.0,1.867,0.0,0.0,1.6230000000000002,0.0,0.0,0.0,-0.28916010155459804,-0.85768478534166,0.964520236656332,1.0,,
TRINITY_DN100198_c0_g1,0.8370000000000001,1.564,0.0,1.357,0.0,0.0,0.0,0.0,-1.78186169518184,-0.7676273289918091,0.632489722344676,1.0,,
TRINITY_DN10019_c0_g1,11.088,24.831,38.347,4.281000000000001,3.5060000000000002,10.706,18.226,1.412,0.781243223818325,3.877034306032471,0.3673430296188971,1.0,,
TRINITY_DN1001_c0_g1,54.034,45.757,54.391999999999996,32.546,34.875,86.615,48.24,48.31399999999999,-0.16554246240256398,5.71144125955122,0.630201501021735,1.0,,
TRINITY_DN1001_c0_g2,36.227,25.374000000000002,25.72,26.996,20.289,31.703000000000003,24.859,27.912,-0.0779475436291414,4.8272824938125805,0.768182825146555,1.0,,
TRINITY_DN1001_c0_g3,57.84,41.595,28.421999999999997,39.589,34.667,59.628,28.943,58.626999999999995,-0.4307144913623249,5.499012959888308,0.174074137680216,1.0,,
TRINITY_DN1001_c0_g4,8.083,6.0,6.053999999999999,4.237,7.085,8.302,6.263999999999999,6.353,0.119351909937026,2.77872360030864,0.7639581159834989,1.0,,
TRINITY_DN100208_c0_g1,0.0,0.0,0.0,2.352,1.167,0.0,0.0,0.0,-0.9307667748808393,-0.8894369075852041,0.8896006467235291,1.0,,
TRINITY_DN10020_c0_g1,47.506,39.975,34.364000000000004,32.126,19.998,68.764,46.02,84.573,-0.6235693535971679,5.5983815687913,0.124387861257065,1.0,,
TRINITY_DN10020_c0_g2,0.585,1.876,2.506,0.9079999999999999,0.324,0.312,1.55,3.02,-0.298497631103032,0.627269505289433,0.7785447825055408,1.0,,
TRINITY_DN10020_c0_g3,4.537,1.021,0.0,1.237,0.0,1.2309999999999999,2.2030000000000003,0.0,0.930981549057845,0.510649764123302,0.6405136014079891,1.0,,
